cefr	headword	part_of_speech	page	source
A1	horse	n.	2	The Oxford 3000 by CEFR level
A1	hospital	n.	2	The Oxford 3000 by CEFR level
A1	hot	adj.	2	The Oxford 3000 by CEFR level
A1	hotel	n.	2	The Oxford 3000 by CEFR level
A1	hour	n.	2	The Oxford 3000 by CEFR level
A1	house	n.	2	The Oxford 3000 by CEFR level
A1	how	adv.	2	The Oxford 3000 by CEFR level
A1	however	adv.	2	The Oxford 3000 by CEFR level
A1	hundred	number	2	The Oxford 3000 by CEFR level
A1	hungry	adj.	2	The Oxford 3000 by CEFR level
A1	husband	n.	2	The Oxford 3000 by CEFR level
A1	I	pron.	2	The Oxford 3000 by CEFR level
A1	ice	n.	2	The Oxford 3000 by CEFR level
A1	ice cream	n.	2	The Oxford 3000 by CEFR level
A1	idea	n.	2	The Oxford 3000 by CEFR level
A1	if	conj.	2	The Oxford 3000 by CEFR level
A1	imagine	v.	2	The Oxford 3000 by CEFR level
A1	important	adj.	2	The Oxford 3000 by CEFR level
A1	improve	v.	2	The Oxford 3000 by CEFR level
A1	in	prep., adv.	2	The Oxford 3000 by CEFR level
A1	include	v.	2	The Oxford 3000 by CEFR level
A1	information	n.	2	The Oxford 3000 by CEFR level
A1	interest	n., v.	2	The Oxford 3000 by CEFR level
A1	interested	adj.	2	The Oxford 3000 by CEFR level
A1	interesting	adj.	2	The Oxford 3000 by CEFR level
A1	internet	n.	2	The Oxford 3000 by CEFR level
A1	interview	n., v.	2	The Oxford 3000 by CEFR level
A1	into	prep.	2	The Oxford 3000 by CEFR level
A1	introduce	v.	2	The Oxford 3000 by CEFR level
A1	island	n.	2	The Oxford 3000 by CEFR level
A1	it	pron.	2	The Oxford 3000 by CEFR level
A1	its	det.	2	The Oxford 3000 by CEFR level
A1	jacket	n.	2	The Oxford 3000 by CEFR level
A1	January	n.	2	The Oxford 3000 by CEFR level
A1	jeans	n.	2	The Oxford 3000 by CEFR level
A1	job	n.	2	The Oxford 3000 by CEFR level
A1	join	v.	2	The Oxford 3000 by CEFR level
A1	journey	n.	2	The Oxford 3000 by CEFR level
A1	juice	n.	2	The Oxford 3000 by CEFR level
A1	July	n.	2	The Oxford 3000 by CEFR level
A1	June	n.	2	The Oxford 3000 by CEFR level
A1	just	adv.	2	The Oxford 3000 by CEFR level
A1	keep	v.	2	The Oxford 3000 by CEFR level
A1	key	n., adj.	2	The Oxford 3000 by CEFR level
A1	kilometre	n.	2	The Oxford 3000 by CEFR level
A1	kind (type)	n.	2	The Oxford 3000 by CEFR level
A1	kitchen	n.	2	The Oxford 3000 by CEFR level
A1	know	v.	2	The Oxford 3000 by CEFR level
A1	land	n.	2	The Oxford 3000 by CEFR level
A1	language	n.	2	The Oxford 3000 by CEFR level
A1	large	adj.	2	The Oxford 3000 by CEFR level
A1	last1 (final)	det.	2	The Oxford 3000 by CEFR level
A1	late	adj., adv.	2	The Oxford 3000 by CEFR level
A1	later	adv.	2	The Oxford 3000 by CEFR level
A1	laugh	v., n.	2	The Oxford 3000 by CEFR level
A1	learn	v.	2	The Oxford 3000 by CEFR level
A1	leave	v.	2	The Oxford 3000 by CEFR level
A1	left	adj., adv., n.	2	The Oxford 3000 by CEFR level
A1	leg	n.	2	The Oxford 3000 by CEFR level
A1	lesson	n.	2	The Oxford 3000 by CEFR level
A1	let	v.	2	The Oxford 3000 by CEFR level
A1	letter	n.	2	The Oxford 3000 by CEFR level
A1	library	n.	2	The Oxford 3000 by CEFR level
A1	lie1	v.	2	The Oxford 3000 by CEFR level
A1	life	n.	2	The Oxford 3000 by CEFR level
A1	light (from the sun/a lamp)	n., adj.	2	The Oxford 3000 by CEFR level
A1	like (similar)	prep.	2	The Oxford 3000 by CEFR level
A1	like (find sb/sth pleasant)	v.	2	The Oxford 3000 by CEFR level
A1	line	n.	2	The Oxford 3000 by CEFR level
A1	lion	n.	2	The Oxford 3000 by CEFR level
A1	list	n., v.	2	The Oxford 3000 by CEFR level
A1	listen	v.	2	The Oxford 3000 by CEFR level
A1	little adj., det./pron. live1	v.	2	The Oxford 3000 by CEFR level
A1	local	adj.	2	The Oxford 3000 by CEFR level
A1	long1	adj., adv.	2	The Oxford 3000 by CEFR level
A1	look	v.	2	The Oxford 3000 by CEFR level
A1	lose	v.	2	The Oxford 3000 by CEFR level
A1	lot	pron., det., adv.	2	The Oxford 3000 by CEFR level
A1	love	n., v.	2	The Oxford 3000 by CEFR level
A1	lunch	n.	2	The Oxford 3000 by CEFR level
A1	machine	n.	2	The Oxford 3000 by CEFR level
A1	magazine	n.	2	The Oxford 3000 by CEFR level
A1	main	adj.	2	The Oxford 3000 by CEFR level
A1	make	v.	2	The Oxford 3000 by CEFR level
A1	man	n.	2	The Oxford 3000 by CEFR level
A1	many det./pron. map	n.	2	The Oxford 3000 by CEFR level
A1	March	n.	2	The Oxford 3000 by CEFR level
A1	market	n.	2	The Oxford 3000 by CEFR level
A1	married	adj.	2	The Oxford 3000 by CEFR level
A1	match (contest/correspond)	n., v.	2	The Oxford 3000 by CEFR level
A1	May	n.	2	The Oxford 3000 by CEFR level
A1	maybe	adv.	2	The Oxford 3000 by CEFR level
A1	me	pron.	2	The Oxford 3000 by CEFR level
A1	meal	n.	2	The Oxford 3000 by CEFR level
A1	mean	v.	2	The Oxford 3000 by CEFR level
A1	meaning	n.	2	The Oxford 3000 by CEFR level
A1	meat	n.	2	The Oxford 3000 by CEFR level
A1	meet	v.	2	The Oxford 3000 by CEFR level
A1	meeting	n.	2	The Oxford 3000 by CEFR level
A1	member	n.	2	The Oxford 3000 by CEFR level
A1	menu	n.	2	The Oxford 3000 by CEFR level
A1	message	n.	2	The Oxford 3000 by CEFR level
A1	metre	n.	2	The Oxford 3000 by CEFR level
A1	midnight	n.	2	The Oxford 3000 by CEFR level
A1	mile	n.	2	The Oxford 3000 by CEFR level
A1	milk	n.	2	The Oxford 3000 by CEFR level
A1	million	number	2	The Oxford 3000 by CEFR level
A1	minute1	n.	2	The Oxford 3000 by CEFR level
A1	miss	v.	2	The Oxford 3000 by CEFR level
A1	mistake	n.	2	The Oxford 3000 by CEFR level
A1	model	n.	2	The Oxford 3000 by CEFR level
A1	modern	adj.	2	The Oxford 3000 by CEFR level
A1	moment	n.	2	The Oxford 3000 by CEFR level
A1	Monday	n.	2	The Oxford 3000 by CEFR level
A1	money	n.	2	The Oxford 3000 by CEFR level
A1	month	n.	2	The Oxford 3000 by CEFR level
A1	more det./pron.	adv.	2	The Oxford 3000 by CEFR level
A1	morning	n.	2	The Oxford 3000 by CEFR level
A1	most det./pron.	adv.	2	The Oxford 3000 by CEFR level
A1	mother	n.	2	The Oxford 3000 by CEFR level
A1	mountain	n.	2	The Oxford 3000 by CEFR level
A1	mouse	n.	2	The Oxford 3000 by CEFR level
A1	mouth	n.	2	The Oxford 3000 by CEFR level
A1	move	v.	2	The Oxford 3000 by CEFR level
A1	movie	n.	2	The Oxford 3000 by CEFR level
A1	much det./pron.	adv.	2	The Oxford 3000 by CEFR level
A1	mum	n.	2	The Oxford 3000 by CEFR level
A1	museum	n.	2	The Oxford 3000 by CEFR level
A1	music	n.	2	The Oxford 3000 by CEFR level
A1	must	modal v.	2	The Oxford 3000 by CEFR level
A1	my	det.	2	The Oxford 3000 by CEFR level
A1	name	n., v.	2	The Oxford 3000 by CEFR level
A1	natural	adj.	2	The Oxford 3000 by CEFR level
A1	near	prep., adj., adv.	2	The Oxford 3000 by CEFR level
A1	need	v.	2	The Oxford 3000 by CEFR level
A1	negative	adj.	2	The Oxford 3000 by CEFR level
A1	neighbour	n.	2	The Oxford 3000 by CEFR level
A1	never	adv.	2	The Oxford 3000 by CEFR level
A1	new	adj.	2	The Oxford 3000 by CEFR level
A1	news	n.	2	The Oxford 3000 by CEFR level
A1	newspaper	n.	2	The Oxford 3000 by CEFR level
A1	next	adj., adv.	2	The Oxford 3000 by CEFR level
A1	next to	prep.	2	The Oxford 3000 by CEFR level
A1	nice	adj.	2	The Oxford 3000 by CEFR level
A1	night	n.	2	The Oxford 3000 by CEFR level
A1	nine	number	2	The Oxford 3000 by CEFR level
A1	nineteen	number	2	The Oxford 3000 by CEFR level
A1	ninety	number	2	The Oxford 3000 by CEFR level
A1	no	exclam., det.	2	The Oxford 3000 by CEFR level
A1	no one	pron.	3	The Oxford 3000 by CEFR level
A1	nobody	pron.	3	The Oxford 3000 by CEFR level
A1	north	n., adj., adv.	3	The Oxford 3000 by CEFR level
A1	nose	n.	3	The Oxford 3000 by CEFR level
A1	not	adv.	3	The Oxford 3000 by CEFR level
A1	note	n.	3	The Oxford 3000 by CEFR level
A1	nothing	pron.	3	The Oxford 3000 by CEFR level
A1	November	n.	3	The Oxford 3000 by CEFR level
A1	now	adv.	3	The Oxford 3000 by CEFR level
A1	number	n.	3	The Oxford 3000 by CEFR level
A1	nurse	n.	3	The Oxford 3000 by CEFR level
A1	object	n.	3	The Oxford 3000 by CEFR level
A1	o’clock	adv.	3	The Oxford 3000 by CEFR level
A1	October	n.	3	The Oxford 3000 by CEFR level
A1	of	prep.	3	The Oxford 3000 by CEFR level
A1	off	adv., prep.	3	The Oxford 3000 by CEFR level
A1	office	n.	3	The Oxford 3000 by CEFR level
A1	often	adv.	3	The Oxford 3000 by CEFR level
A1	oh	exclam.	3	The Oxford 3000 by CEFR level
A1	OK exclam., adj./adv. old	adj.	3	The Oxford 3000 by CEFR level
A1	on	prep., adv.	3	The Oxford 3000 by CEFR level
A1	once	adv.	3	The Oxford 3000 by CEFR level
A1	one number/det.	pron.	3	The Oxford 3000 by CEFR level
A1	onion	n.	3	The Oxford 3000 by CEFR level
A1	online	adj., adv.	3	The Oxford 3000 by CEFR level
A1	only	adj., adv.	3	The Oxford 3000 by CEFR level
A1	open	adj., v.	3	The Oxford 3000 by CEFR level
A1	opinion	n.	3	The Oxford 3000 by CEFR level
A1	opposite	adj., n., prep., adv.	3	The Oxford 3000 by CEFR level
A1	or	conj.	3	The Oxford 3000 by CEFR level
A1	orange	n., adj.	3	The Oxford 3000 by CEFR level
A1	order	n., v.	3	The Oxford 3000 by CEFR level
A1	other adj./pron. our	det.	3	The Oxford 3000 by CEFR level
A1	out adv./prep. outside	adv.	3	The Oxford 3000 by CEFR level
A1	over	prep., adv.	3	The Oxford 3000 by CEFR level
A1	own adj./pron. page	n.	3	The Oxford 3000 by CEFR level
A1	paint	v., n.	3	The Oxford 3000 by CEFR level
A1	painting	n.	3	The Oxford 3000 by CEFR level
A1	pair	n.	3	The Oxford 3000 by CEFR level
A1	paper	n.	3	The Oxford 3000 by CEFR level
A1	paragraph	n.	3	The Oxford 3000 by CEFR level
A1	parent	n.	3	The Oxford 3000 by CEFR level
A1	park	n., v.	3	The Oxford 3000 by CEFR level
A1	part	n.	3	The Oxford 3000 by CEFR level
A1	partner	n.	3	The Oxford 3000 by CEFR level
A1	party	n.	3	The Oxford 3000 by CEFR level
A1	passport	n.	3	The Oxford 3000 by CEFR level
A1	past	adj., n., prep.	3	The Oxford 3000 by CEFR level
A1	pay	v.	3	The Oxford 3000 by CEFR level
A1	pen	n.	3	The Oxford 3000 by CEFR level
A1	pencil	n.	3	The Oxford 3000 by CEFR level
A1	people	n.	3	The Oxford 3000 by CEFR level
A1	pepper	n.	3	The Oxford 3000 by CEFR level
A1	perfect	adj.	3	The Oxford 3000 by CEFR level
A1	period	n.	3	The Oxford 3000 by CEFR level
A1	person	n.	3	The Oxford 3000 by CEFR level
A1	personal	adj.	3	The Oxford 3000 by CEFR level
A1	phone	n., v.	3	The Oxford 3000 by CEFR level
A1	photo	n.	3	The Oxford 3000 by CEFR level
A1	photograph	n.	3	The Oxford 3000 by CEFR level
A1	phrase	n.	3	The Oxford 3000 by CEFR level
A1	piano	n.	3	The Oxford 3000 by CEFR level
A1	picture	n.	3	The Oxford 3000 by CEFR level
A1	piece	n.	3	The Oxford 3000 by CEFR level
A1	pig	n.	3	The Oxford 3000 by CEFR level
A1	pink	adj., n.	3	The Oxford 3000 by CEFR level
A1	place	n.	3	The Oxford 3000 by CEFR level
A1	plan	n., v.	3	The Oxford 3000 by CEFR level
A1	plane	n.	3	The Oxford 3000 by CEFR level
A1	plant	n.	3	The Oxford 3000 by CEFR level
A1	play	v., n.	3	The Oxford 3000 by CEFR level
A1	player	n.	3	The Oxford 3000 by CEFR level
A1	please	exclam.	3	The Oxford 3000 by CEFR level
A1	point	n.	3	The Oxford 3000 by CEFR level
A1	police	n.	3	The Oxford 3000 by CEFR level
A1	policeman	n.	3	The Oxford 3000 by CEFR level
A1	pool	n.	3	The Oxford 3000 by CEFR level
A1	poor	adj.	3	The Oxford 3000 by CEFR level
A1	popular	adj.	3	The Oxford 3000 by CEFR level
A1	positive	adj.	3	The Oxford 3000 by CEFR level
A1	possible	adj.	3	The Oxford 3000 by CEFR level
A1	post	n., v.	3	The Oxford 3000 by CEFR level
A1	potato	n.	3	The Oxford 3000 by CEFR level
A1	pound	n.	3	The Oxford 3000 by CEFR level
A1	practice	n.	3	The Oxford 3000 by CEFR level
A1	practise	v.	3	The Oxford 3000 by CEFR level
A1	prefer	v.	3	The Oxford 3000 by CEFR level
A1	prepare	v.	3	The Oxford 3000 by CEFR level
A1	present	adj., n.	3	The Oxford 3000 by CEFR level
A1	pretty	adj., adv.	3	The Oxford 3000 by CEFR level
A1	price	n.	3	The Oxford 3000 by CEFR level
A1	probably	adv.	3	The Oxford 3000 by CEFR level
A1	problem	n.	3	The Oxford 3000 by CEFR level
A1	product	n.	3	The Oxford 3000 by CEFR level
A1	programme	n.	3	The Oxford 3000 by CEFR level
A1	project	n.	3	The Oxford 3000 by CEFR level
A1	purple	adj., n.	3	The Oxford 3000 by CEFR level
A1	put	v.	3	The Oxford 3000 by CEFR level
A1	quarter	n.	3	The Oxford 3000 by CEFR level
A1	question	n.	3	The Oxford 3000 by CEFR level
A1	quick	adj.	3	The Oxford 3000 by CEFR level
A1	quickly	adv.	3	The Oxford 3000 by CEFR level
A1	quiet	adj.	3	The Oxford 3000 by CEFR level
A1	quite	adv.	3	The Oxford 3000 by CEFR level
A1	radio	n.	3	The Oxford 3000 by CEFR level
A1	rain	n., v.	3	The Oxford 3000 by CEFR level
A1	read	v.	3	The Oxford 3000 by CEFR level
A1	reader	n.	3	The Oxford 3000 by CEFR level
A1	reading	n.	3	The Oxford 3000 by CEFR level
A1	ready	adj.	3	The Oxford 3000 by CEFR level
A1	real	adj.	3	The Oxford 3000 by CEFR level
A1	really	adv.	3	The Oxford 3000 by CEFR level
A1	reason	n.	3	The Oxford 3000 by CEFR level
A1	red	adj., n.	3	The Oxford 3000 by CEFR level
A1	relax	v.	3	The Oxford 3000 by CEFR level
A1	remember	v.	3	The Oxford 3000 by CEFR level
A1	repeat	v.	3	The Oxford 3000 by CEFR level
A1	report	n.	3	The Oxford 3000 by CEFR level
A1	restaurant	n.	3	The Oxford 3000 by CEFR level
A1	result	n.	3	The Oxford 3000 by CEFR level
A1	return	v., n.	3	The Oxford 3000 by CEFR level
A1	rice	n.	3	The Oxford 3000 by CEFR level
A1	rich	adj.	3	The Oxford 3000 by CEFR level
A1	ride	v.	3	The Oxford 3000 by CEFR level
A1	right	adj., adv., n.	3	The Oxford 3000 by CEFR level
A1	river	n.	3	The Oxford 3000 by CEFR level
A1	road	n.	3	The Oxford 3000 by CEFR level
A1	room	n.	3	The Oxford 3000 by CEFR level
A1	routine	n.	3	The Oxford 3000 by CEFR level
A1	rule	n.	3	The Oxford 3000 by CEFR level
A1	run	v.	3	The Oxford 3000 by CEFR level
A1	sad	adj.	3	The Oxford 3000 by CEFR level
A1	salad	n.	3	The Oxford 3000 by CEFR level
A1	salt	n.	3	The Oxford 3000 by CEFR level
A1	same	adj., pron., adv.	3	The Oxford 3000 by CEFR level
A1	sandwich	n.	3	The Oxford 3000 by CEFR level
A1	Saturday	n.	3	The Oxford 3000 by CEFR level
A1	say	v.	3	The Oxford 3000 by CEFR level
A1	school	n.	3	The Oxford 3000 by CEFR level
A1	science	n.	3	The Oxford 3000 by CEFR level
A1	scientist	n.	3	The Oxford 3000 by CEFR level
A1	sea	n.	3	The Oxford 3000 by CEFR level
A1	second1 (next after the first) det./	number	3	The Oxford 3000 by CEFR level
A1	second1 (unit of time)	n.	3	The Oxford 3000 by CEFR level
A1	section	n.	3	The Oxford 3000 by CEFR level
A1	see	v.	3	The Oxford 3000 by CEFR level
A1	sell	v.	3	The Oxford 3000 by CEFR level
A1	send	v.	3	The Oxford 3000 by CEFR level
A1	sentence	n.	3	The Oxford 3000 by CEFR level
A1	September	n.	3	The Oxford 3000 by CEFR level
A1	seven	number	3	The Oxford 3000 by CEFR level
A1	seventeen	number	3	The Oxford 3000 by CEFR level
A1	seventy	number	3	The Oxford 3000 by CEFR level
A1	share	v.	3	The Oxford 3000 by CEFR level
A1	she	pron.	3	The Oxford 3000 by CEFR level
A1	sheep	n.	3	The Oxford 3000 by CEFR level
A1	shirt	n.	3	The Oxford 3000 by CEFR level
A1	shoe	n.	3	The Oxford 3000 by CEFR level
A1	shop	n., v.	3	The Oxford 3000 by CEFR level
A1	shopping	n.	3	The Oxford 3000 by CEFR level
A1	short	adj.	3	The Oxford 3000 by CEFR level
A1	should	modal v.	3	The Oxford 3000 by CEFR level
A1	show	v., n.	3	The Oxford 3000 by CEFR level
A1	shower	n.	3	The Oxford 3000 by CEFR level
A1	sick	adj.	3	The Oxford 3000 by CEFR level
A1	similar	adj.	3	The Oxford 3000 by CEFR level
A1	sing	v.	3	The Oxford 3000 by CEFR level
A1	singer	n.	3	The Oxford 3000 by CEFR level
